phase,iter,cpu_id,wall_us,gpu_us
A1_warm_cpu_a,0,2,102.956,33.504
A1_warm_cpu_a,1,2,67.132,31.200
A1_warm_cpu_a,2,2,50.694,20.640
A1_warm_cpu_a,3,2,42.584,23.328
A1_warm_cpu_a,4,2,39.002,18.816
A1_warm_cpu_a,5,2,36.374,17.600
A1_warm_cpu_a,6,2,46.773,26.400
A1_warm_cpu_a,7,2,38.415,18.528
A1_warm_cpu_a,8,2,35.882,17.408
A1_warm_cpu_a,9,2,35.036,16.672
A1_warm_cpu_a,10,2,35.289,16.896
A1_warm_cpu_a,11,2,33.725,16.736
A1_warm_cpu_a,12,2,32.752,16.192
A1_warm_cpu_a,13,2,32.564,16.032
A1_warm_cpu_a,14,2,32.439,16.128
A1_warm_cpu_a,15,2,34.511,16.896
A1_warm_cpu_a,16,2,33.929,16.288
A1_warm_cpu_a,17,2,32.831,15.616
A1_warm_cpu_a,18,2,33.900,16.832
A1_warm_cpu_a,19,2,33.177,16.576
A1_warm_cpu_a,20,2,39.275,16.672
A1_warm_cpu_a,21,2,32.320,15.744
A1_warm_cpu_a,22,2,47.031,28.928
A1_warm_cpu_a,23,2,32.799,16.032
A1_warm_cpu_a,24,2,32.238,16.096
A1_warm_cpu_a,25,2,33.025,16.480
A1_warm_cpu_a,26,2,34.928,18.432
A1_warm_cpu_a,27,2,31.787,16.064
A1_warm_cpu_a,28,2,34.111,18.560
A1_warm_cpu_a,29,2,34.871,17.408
A1_warm_cpu_a,30,2,31.139,15.424
A1_warm_cpu_a,31,2,33.157,16.416
A1_warm_cpu_a,32,2,33.046,16.288
A1_warm_cpu_a,33,2,31.714,15.840
A1_warm_cpu_a,34,2,31.041,15.360
A1_warm_cpu_a,35,2,30.855,15.392
A1_warm_cpu_a,36,2,30.500,15.040
A1_warm_cpu_a,37,2,32.914,16.768
A1_warm_cpu_a,38,2,33.264,16.512
A1_warm_cpu_a,39,2,31.354,15.456
A1_warm_cpu_a,40,2,31.134,15.552
A1_warm_cpu_a,41,2,31.058,14.944
A1_warm_cpu_a,42,2,36.997,21.120
A1_warm_cpu_a,43,2,30.632,15.456
A1_warm_cpu_a,44,2,30.974,15.296
A1_warm_cpu_a,45,2,32.003,15.168
A1_warm_cpu_a,46,2,34.282,16.384
A1_warm_cpu_a,47,2,31.573,15.744
A1_warm_cpu_a,48,2,31.519,15.424
A1_warm_cpu_a,49,2,30.694,15.072
A1_warm_cpu_a,50,2,33.034,16.192
A1_warm_cpu_a,51,2,32.290,16.608
A1_warm_cpu_a,52,2,33.187,17.120
A1_warm_cpu_a,53,2,143.335,72.064
A1_warm_cpu_a,54,2,40.077,20.576
A1_warm_cpu_a,55,2,34.393,17.312
A1_warm_cpu_a,56,2,33.288,16.192
A1_warm_cpu_a,57,2,32.454,16.576
A1_warm_cpu_a,58,2,31.574,15.296
A1_warm_cpu_a,59,2,33.785,16.096
A1_warm_cpu_a,60,2,35.272,17.312
A1_warm_cpu_a,61,2,31.666,16.096
A1_warm_cpu_a,62,2,32.569,16.192
A1_warm_cpu_a,63,2,32.749,16.288
A1_warm_cpu_a,64,2,33.096,16.512
A1_warm_cpu_a,65,2,30.992,15.488
A1_warm_cpu_a,66,2,141.815,18.912
A1_warm_cpu_a,67,2,33.772,16.896
A1_warm_cpu_a,68,2,31.923,15.552
A1_warm_cpu_a,69,2,31.883,15.776
A1_warm_cpu_a,70,2,31.711,15.648
A1_warm_cpu_a,71,2,31.295,15.776
A1_warm_cpu_a,72,2,33.066,16.384
A1_warm_cpu_a,73,2,31.683,15.744
A1_warm_cpu_a,74,2,30.560,15.392
A1_warm_cpu_a,75,2,30.280,14.944
A1_warm_cpu_a,76,2,30.864,15.392
A1_warm_cpu_a,77,2,32.960,15.968
A1_warm_cpu_a,78,2,31.761,15.776
A1_warm_cpu_a,79,2,30.733,15.072
A1_warm_cpu_a,80,2,30.577,15.072
A1_warm_cpu_a,81,2,30.776,15.520
A1_warm_cpu_a,82,2,31.152,15.392
A1_warm_cpu_a,83,2,31.404,15.872
A1_warm_cpu_a,84,2,31.029,15.712
A1_warm_cpu_a,85,2,39.804,24.416
A1_warm_cpu_a,86,2,29.881,14.880
A1_warm_cpu_a,87,2,30.110,14.656
A1_warm_cpu_a,88,2,40.844,25.440
A1_warm_cpu_a,89,2,30.813,15.168
A1_warm_cpu_a,90,2,32.602,15.648
A1_warm_cpu_a,91,2,33.000,15.744
A1_warm_cpu_a,92,2,32.105,16.064
A1_warm_cpu_a,93,2,31.286,15.200
A1_warm_cpu_a,94,2,31.325,15.104
A1_warm_cpu_a,95,2,32.164,15.872
A1_warm_cpu_a,96,2,31.072,14.880
A1_warm_cpu_a,97,2,30.983,15.296
A1_warm_cpu_a,98,2,30.888,14.976
A1_warm_cpu_a,99,2,30.992,14.976
A1_warm_cpu_a,100,2,30.430,15.008
A1_warm_cpu_a,101,2,32.474,15.872
A1_warm_cpu_a,102,2,30.703,15.072
A1_warm_cpu_a,103,2,30.614,15.136
A1_warm_cpu_a,104,2,30.859,15.424
A1_warm_cpu_a,105,2,29.748,14.464
A1_warm_cpu_a,106,2,30.594,15.328
A1_warm_cpu_a,107,2,30.581,15.584
A1_warm_cpu_a,108,2,31.632,15.584
A1_warm_cpu_a,109,2,30.245,14.944
A1_warm_cpu_a,110,2,30.093,14.752
A1_warm_cpu_a,111,2,30.647,15.392
A1_warm_cpu_a,112,2,30.745,15.264
A1_warm_cpu_a,113,2,31.500,15.264
A1_warm_cpu_a,114,2,31.631,15.584
A1_warm_cpu_a,115,2,30.810,14.912
A1_warm_cpu_a,116,2,38.204,22.112
